Numero	Adresse	ReponseRequête	EncodageEnUTF8	NombreDeMots
1	https://fr.wikipedia.org/wiki/Robot	200	OUI	5800
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	OUI	1282
3	https://fr.wikipedia.org/wiki/Robot_d%27indexation	200	OUI	1884
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	OUI	2702
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	OUI	1286
6	https://roboty.magistry.fr	ERREUR	ERREUR	ERREUR
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	OUI	541
8	https://fr.wiktionary.org/wiki/robot	200	OUI	4932
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	OUI	1258
10	https://fr.wikipedia.org/wiki/Robotique	200	OUI	13144
